col_name,feature_importance_vals
TotalSF,0.08264976168481743
OverallQual,0.056809420075792864
GrLivArea,0.028821426022374516
YearRemodAdd,0.024396108554592236
OverallCond,0.024135946104483753
YearBuilt,0.022644257013900344
TotalBath,0.02019922926814468
LotArea,0.017676764545735423
BsmtFinSF1,0.015533421782195187
GarageCars,0.014336846175171919
GarageArea,0.012575167339348943
Fireplaces,0.012065065680662328
1stFlrSF,0.011696188951054846
BsmtUnfSF,0.010529138565158193
BsmtQual_Gd,0.01043795988838294
GarageType_Attchd,0.01014610412054332
GarageYrBlt,0.010059224218699363
FireplaceQu_None,0.009814767876900868
HeatingQC_Ex,0.009123541668740378
WoodDeckSF,0.007970098131577555
